"Stock Symbol"	"Cluster"
"AAOI"	1
"ACA"	1
"ACIA"	1
"ACIU"	1
"ACMR"	1
"ADT"	1
"AGLE"	1
"AGS"	1
"AIRG"	1
"AKCA"	1
"ALLK"	1
"ALLT"	1
"AMRC"	1
"ANGI"	1
"APLS"	1
"APPS"	1
"ARAY"	1
"ARGX"	1
"ARLO"	1
"ARVN"	1
"ASUR"	1
"ATEN"	1
"ATHM"	1
"ATNX"	1
"ATUS"	1
"AUDC"	1
"AVLR"	1
"AVRO"	1
"AVYA"	1
"AXGN"	1
"AXNX"	1
"BAND"	1
"BE"	1
"BEST"	1
"BFYT"	1
"BGNE"	1
"BHVN"	1
"BILI"	1
"BITA"	1
"BJ"	1
"BKD"	1
"BV"	1
"BXG"	1
"BYD"	1
"BZUN"	1
"CAMT"	1
"CARG"	1
"CARS"	1
"CASA"	1
"CBAY"	1
"CBPO"	1
"CDLX"	1
"CERC"	1
"CFXA"	1
"CG"	1
"CIGI"	1
"CLSD"	1
"CLXT"	1
"CMCM"	1
"CMG"	1
"CNDT"	1
"CNNE"	1
"CNST"	1
"CRNT"	1
"CRNX"	1
"CRTO"	1
"CRVS"	1
"CRWD"	1
"CSLT"	1
"CTSO"	1
"CTVA"	1
"CUBA"	1
"CUE"	1
"CUTR"	1
"CVNA"	1
"CWH"	1
"CWK"	1
"CYBE"	1
"DAO"	1
"DAVA"	1
"DDOG"	1
"DFIN"	1
"DOCU"	1
"DOMO"	1
"DOW"	1
"DSPG"	1
"DT"	1
"EAF"	1
"EASI"	1
"EB"	1
"EBIZ"	1
"ECOM"	1
"EDU"	1
"EHTH"	1
"EIDX"	1
"ELF"	1
"ELOX"	1
"EMKR"	1
"ENPH"	1
"ERI"	1
"EROS"	1
"ESTC"	1
"EVER"	1
"EVOP"	1
"EVRI"	1
"EVTC"	1
"EYE"	1
"EYPT"	1
"FANH"	1
"FBIO"	1
"FIT"	1
"FLNG"	1
"FND"	1
"FNGS"	1
"FOCS"	1
"FONR"	1
"FOR"	1
"FOX"	1
"FOXA"	1
"FRPT"	1
"FSV"	1
"FTCH"	1
"GDEN"	1
"GDS"	1
"GLUU"	1
"GMAB"	1
"GNOM"	1
"GRFS"	1
"GRPN"	1
"GSIT"	1
"GSKY"	1
"GSX"	1
"GTHX"	1
"GTT"	1
"GTX"	1
"HBB"	1
"HEAR"	1
"HGLB"	1
"HGV"	1
"HHR"	1
"HIMX"	1
"HLNE"	1
"HNGR"	1
"HOLI"	1
"HTHT"	1
"HUD"	1
"HUYA"	1
"HYHG"	1
"ICAD"	1
"IDNA"	1
"IIN"	1
"IIPR"	1
"IMMR"	1
"INFN"	1
"INSG"	1
"IOTS"	1
"IQ"	1
"IRTC"	1
"IVAC"	1
"IVC"	1
"IVES"	1
"JSML"	1
"KALA"	1
"KDMN"	1
"KEM"	1
"KFYP"	1
"KIDS"	1
"KNDI"	1
"KNSA"	1
"KOD"	1
"KRNT"	1
"KRYS"	1
"KTB"	1
"KTOS"	1
"LASR"	1
"LEAF"	1
"LILA"	1
"LILAK"	1
"LLNW"	1
"LNTH"	1
"LTHM"	1
"LTRPA"	1
"LYFT"	1
"MANU"	1
